StuID,checkinTime,ProofPath,checkinType,IsSucc,checkinResult
201416920101, , , , ,缺勤
201416920102, , , , ,缺勤
201416920104, , , , ,缺勤
201416920105, , , , ,早退
201416920106, , , , ,早退
201416920215, , , , ,早退
201416920217, , , , ,早退
201416920218, , , , ,早退
201416920219, , , , ,早退
201416920220, , , , ,早退
201412030210, , , , ,早退
201416920401, , , , ,出勤
201416920403, , , , ,早退
201416920405, , , , ,请假
201416920406, , , , ,缺勤
201416920508, , , , ,缺勤
201416920509, , , , ,早退
201416920510, , , , ,早退
201416920511, , , , ,早退
201416920512, , , , ,早退
201413040325, , , , ,缺勤
201416070325, , , , ,早退
201416920616, , , , ,早退
201416920618, , , , ,早退
201416920619, , , , ,早退
